Date,Close
01-03-2005,4.203
01-04-2005,4.341
01-05-2005,4.189
01-06-2005,4.651
01-07-2005,5.08
01-08-2005,4.789
01-09-2005,5.12
01-10-2005,4.419
01-11-2005,4.959
01-12-2005,5.09
01-01-2006,5.944
01-02-2006,5.319
01-03-2006,5.45
01-04-2006,5.882
01-05-2006,5.294
01-06-2006,5.455
01-07-2006,5.415
01-08-2006,5.688
01-09-2006,6.105
01-10-2006,6.926
01-11-2006,7.601
01-12-2006,7.548
01-01-2007,7.632
01-02-2007,6.636
01-03-2007,6.445
01-04-2007,7.263
01-05-2007,8.495
01-06-2007,8.426
01-07-2007,8.661
01-08-2007,8.865
01-09-2007,10.713
01-10-2007,13.9
01-11-2007,13.449
01-12-2007,13.045
01-01-2008,11.931
01-02-2008,10.911
01-03-2008,9.824
01-04-2008,11.28
01-05-2008,9.975
01-06-2008,7.166
01-07-2008,7.818
01-08-2008,9.049
01-09-2008,8.495
01-10-2008,6.56
01-11-2008,5.72
01-12-2008,7.138
01-01-2009,5.766
01-02-2009,5.1
01-03-2009,6.093
01-04-2009,7.402
01-05-2009,9.95
01-06-2009,10.313
01-07-2009,9.777
01-08-2009,9.851
01-09-2009,11.837
01-10-2009,11.061
01-11-2009,13.455
01-12-2009,13.008
01-01-2010,11.83
01-02-2010,12.169
01-03-2010,13.939
01-04-2010,14.912
01-05-2010,13.9
01-06-2010,14.297
01-07-2010,16.458
01-08-2010,15.98
01-09-2010,18.437
01-10-2010,17.296
01-11-2010,17.635
01-12-2010,16.711
01-01-2011,14.441
01-02-2011,14.711
01-03-2011,16.993999
01-04-2011,17.209999
01-05-2011,16.283001
01-06-2011,17.639
01-07-2011,17.379999
01-08-2011,16.68
01-09-2011,14.575
01-10-2011,15.83
01-11-2011,13.83
01-12-2011,13.14
01-01-2012,15.515
01-02-2012,17.174999
01-03-2012,17.049999
01-04-2012,17.165001
01-05-2012,13.98
01-06-2012,16.299999
01-07-2012,16.955
01-08-2012,16.790001
01-09-2012,18.790001
01-10-2012,18.695
01-11-2012,21.059999
01-12-2012,20.360001
01-01-2013,20.110001
01-02-2013,19.025
01-03-2013,18.709999
01-04-2013,21.219999
01-05-2013,20.120001
01-06-2013,18.120001
01-07-2013,16.450001
01-08-2013,14.49
01-09-2013,15.39
01-10-2013,18.125
01-11-2013,16.59
01-12-2013,17.219999
01-01-2014,15.645
01-02-2014,16.795
01-03-2014,20.514999
01-04-2014,20.025
01-05-2014,22.514999
01-06-2014,23.41
01-07-2014,23.700001
01-08-2014,24.844999
01-09-2014,23.290001
01-10-2014,26.215
01-11-2014,26.645
01-12-2014,25.375
01-01-2015,28.49
01-02-2015,31.004999
01-03-2015,29.445
01-04-2015,28.42
01-05-2015,29.809999
01-06-2015,30.264999
01-07-2015,31.235001
01-08-2015,28.495001
01-09-2015,30.545
01-10-2015,30.57
01-11-2015,29.059999
01-12-2015,30.799999
01-01-2016,30.165001
01-02-2016,26.41
01-03-2016,30.815001
01-04-2016,31.434999
01-05-2016,32.18
01-06-2016,33.174999
01-07-2016,34.634998
01-08-2016,35.825001
01-09-2016,35.945
01-10-2016,35.389999
01-11-2016,32.259998
01-12-2016,30.34
01-01-2017,34.465
01-02-2017,35.845001
01-03-2017,37.610001
01-04-2017,39.805
01-05-2017,43.900002
01-06-2017,43.485001
01-07-2017,48.389999
01-08-2017,48.715
01-09-2017,48.185001
01-10-2017,46.150002
01-11-2017,48.549999
01-12-2017,50.834999
01-01-2018,54.294998
01-02-2018,48.59
01-03-2018,49.384998
01-04-2018,47.904999
01-05-2018,53.209999
01-06-2018,52.509998
01-07-2018,51.669998
01-08-2018,50.634998
01-09-2018,47.049999
01-10-2018,44.455002
01-11-2018,50.709999
01-12-2018,51.794998
01-01-2019,49.110001
01-02-2019,50.560001
01-03-2019,57.955002
01-04-2019,57.325001
01-05-2019,62.080002
01-06-2019,65.019997
01-07-2019,57.490002
01-08-2019,53.900002
01-09-2019,57.049999
01-10-2019,61.09
01-11-2019,61.75
01-12-2019,63.369999
01-01-2020,57.279999
01-02-2020,54.849998
01-03-2020,38.459999
01-04-2020,43.349998
01-05-2020,41.830002
01-06-2020,45.459999
01-07-2020,46.75
01-08-2020,49.599998
01-09-2020,49.959999
01-10-2020,57.439999
01-11-2020,69
01-12-2020,72.260002
01-01-2021,72.099998
01-02-2021,79.139999
01-03-2021,77.690002
01-04-2021,70.279999
01-05-2021,76.529999
01-06-2021,73.120003
01-07-2021,70.57
01-08-2021,78.309998
01-09-2021,73.089996
01-10-2021,71.910004
01-11-2021,65.470001
01-12-2021,65.07
01-01-2022,68.629997
01-02-2022,62.169998
